"","times","Qs"
"1",0,0
"2",1,0
"3",2,0
"4",3,0
"5",4,0
"6",5,0
"7",6,0
"8",7,0
"9",8,0
"10",9,0
"11",10,0
"12",11,0
"13",12,0
"14",13,0
"15",14,0
"16",15,0
"17",16,0
"18",17,0
"19",18,0
"20",19,0
"21",20,0
"22",21,0
"23",22,0
"24",23,0
"25",24,0
"26",25,0
"27",26,0
"28",27,0
"29",28,0
"30",29,0
"31",30,0
"32",31,0
"33",32,0
"34",33,0
"35",34,0
"36",35,0
"37",36,0
"38",37,0
"39",38,0
"40",39,0
"41",40,0
"42",41,0
"43",42,0
"44",43,0
"45",44,0
"46",45,0
"47",46,0
"48",47,0
"49",48,0
"50",49,0
"51",50,0
"52",51,0
"53",52,0
"54",53,0
"55",54,0
"56",55,0
"57",56,0
"58",57,0
"59",58,0
"60",59,0
"61",60,0
"62",61,0
"63",62,0
"64",63,0
"65",64,0
"66",65,0
"67",66,0
"68",67,0
"69",68,0
"70",69,0
"71",70,0
"72",71,0
"73",72,0
"74",73,0
"75",74,0
"76",75,0
"77",76,0
"78",77,0
"79",78,0
"80",79,0
"81",80,0
"82",81,0
"83",82,0
"84",83,0
"85",84,0
"86",85,0
"87",86,0
"88",87,0
"89",88,0
"90",89,0
"91",90,0
"92",91,0
"93",92,0
"94",93,0
"95",94,0
"96",95,0
"97",96,0
"98",97,0
"99",98,0
"100",99,0
"101",100,0
"102",101,0
"103",102,0
"104",103,0
"105",104,0
"106",105,0
"107",106,0
"108",107,0
"109",108,0
"110",109,0
"111",110,0
"112",111,0
"113",112,0
"114",113,0
"115",114,0
"116",115,0
"117",116,0
"118",117,0
"119",118,0
"120",119,0
"121",120,0
"122",121,0
"123",122,0
"124",123,0
"125",124,0
"126",125,0
"127",126,0
"128",127,0
"129",128,0
"130",129,0
"131",130,0
"132",131,0
"133",132,0
"134",133,0
"135",134,0
"136",135,0
"137",136,0
"138",137,0
"139",138,0
"140",139,0
"141",140,0
"142",141,0
"143",142,0
"144",143,0
"145",144,0
"146",145,0
"147",146,0
"148",147,0
"149",148,0
"150",149,0
"151",150,0
"152",151,0
"153",152,0
"154",153,3.82804108429714e-23
"155",154,3.86192439661528e-12
"156",155,1.95023780333726e-08
"157",156,1.44007238794847e-06
"158",157,1.94525921758132e-05
"159",158,0.000111922351315871
"160",159,0.000394497501796811
"161",160,0.00102221725089544
"162",161,0.00215550165851223
"163",162,0.00393211269173106
"164",163,0.00645261305756239
"165",164,0.00977730975648319
"166",165,0.0139300864828277
"167",166,0.0189052489458903
"168",167,0.0246749499484315
"169",168,0.0311959481520651
"170",169,0.0384152111827984
"171",170,0.0462742869677185
"172",171,0.0547125608434438
"173",172,0.0636695858610819
"174",173,0.0730866809075529
"175",174,0.082907970774159
"176",175,0.0930810126142638
"177",176,0.103557123273728
"178",177,0.114291495511368
"179",178,0.125243169289277
"180",179,0.136374907016549
"181",180,0.147653008293303
"182",181,0.159047089611608
"183",182,0.170529846944081
"184",183,0.182076813602898
"185",184,0.193666121703731
"186",185,0.205278272644621
"187",186,0.21689591991928
"188",187,0.228503666108002
"189",188,0.240087874862293
"190",189,0.251636497998737
"191",190,0.263138917352541
"192",191,0.274585800744769
"193",192,0.28596897124052
"194",193,0.297281288782324
"195",194,0.308516543247964
"196",195,0.319669357985949
"197",196,0.330735102911493
"198",197,0.341709816291448
"199",198,0.352590134401537
"200",199,0.363373228298508
"201",200,0.374056747010425
"202",201,0.384638766507956
"203",202,0.395117743876827
"204",203,0.405492476165763
"205",204,0.415762063434695
"206",205,0.425925875574696
"207",206,0.435983522513814
"208",207,0.445934827461986
"209",208,0.455779802883599
"210",209,0.465518628918229
"211",210,0.475151633998987
"212",211,0.484679277443832
"213",212,0.494102133818546
"214",213,0.50342087889101
"215",214,0.512636277015133
"216",215,0.521749169799604
"217",216,0.530760465931664
"218",217,0.539671132039502
"219",218,0.548482184488961
"220",219,0.557194682020924
"221",220,0.565809719145423
"222",221,0.574328420217067
"223",222,0.582751934124127
"224",223,0.591081429530426
"225",224,0.599318090615435
"226",225,0.607463113263399
"227",226,0.615517701657317
"228",227,0.623483065238004
"229",228,0.631360415992423
"230",229,0.63915096603904
"231",230,0.646855925481146
"232",231,0.654476500501953
"233",232,0.662013891677836
"234",233,0.669469292488405
"235",234,0.676843888004192
"236",235,0.684138853734555
"237",236,0.691355354620141
"238",237,0.698494544155711
"239",238,0.705557563630532
"240",239,0.712545541474745
"241",240,0.719459592701231
"242",241,0.726300818433503
"243",242,0.733070305511041
"244",243,0.739769126164319
"245",244,0.74639833774861
"246",245,0.752958963054892
"247",246,0.75945064755522
"248",247,0.765859212077131
"249",248,0.772127787624173
"250",249,0.778141706891455
"251",250,0.783746896071846
"252",251,0.788783885086613
"253",252,0.793115846584536
"254",253,0.796643137185667
"255",254,0.799306354024478
"256",255,0.801082502464008
"257",256,0.801978150904982
"258",257,0.802022005851268
"259",258,0.801258153300449
"260",259,0.799740455804635
"261",260,0.797528181309085
"262",261,0.794682746226734
"263",262,0.791265385322676
"264",263,0.787335553787726
"265",264,0.782949887369184
"266",265,0.778161576116094
"267",266,0.773020037254576
"268",267,0.767570799175247
"269",268,0.761855530352281
"270",269,0.755912164309999
"271",270,0.749775085089568
"272",271,0.743475347758785
"273",272,0.737040916033739
"274",273,0.730496904629282
"275",274,0.723865818003438
"276",275,0.717167780085491
"277",276,0.710420751667982
"278",277,0.703640733619232
"279",278,0.696841955100074
"280",279,0.690037046669105
"281",280,0.683237198625891
"282",281,0.676452305237955
"283",282,0.669691095674208
"284",283,0.662961252560454
"285",284,0.656269519107672
