"","times","Qs"
"1",0,0
"2",1,0
"3",2,0
"4",3,0
"5",4,0
"6",5,0
"7",6,0
"8",7,0
"9",8,0
"10",9,0
"11",10,0
"12",11,0
"13",12,0
"14",13,0
"15",14,0
"16",15,0
"17",16,0
"18",17,0
"19",18,0
"20",19,0
"21",20,0
"22",21,0
"23",22,0
"24",23,0
"25",24,0
"26",25,0
"27",26,0
"28",27,0
"29",28,0
"30",29,0
"31",30,0
"32",31,0
"33",32,0
"34",33,0
"35",34,0
"36",35,0
"37",36,0
"38",37,0
"39",38,0
"40",39,0
"41",40,0
"42",41,0
"43",42,0
"44",43,0
"45",44,0
"46",45,0
"47",46,0
"48",47,0
"49",48,0
"50",49,0
"51",50,0
"52",51,0
"53",52,0
"54",53,0
"55",54,0
"56",55,0
"57",56,0
"58",57,0
"59",58,0
"60",59,0
"61",60,0
"62",61,0
"63",62,0
"64",63,0
"65",64,0
"66",65,0
"67",66,0
"68",67,0
"69",68,0
"70",69,0
"71",70,0
"72",71,0
"73",72,0
"74",73,0
"75",74,0
"76",75,0
"77",76,0
"78",77,0
"79",78,0
"80",79,0
"81",80,0
"82",81,0
"83",82,0
"84",83,0
"85",84,0
"86",85,0
"87",86,0
"88",87,0
"89",88,0
"90",89,0
"91",90,0
"92",91,2.41533063710921e-23
"93",92,2.43670956187165e-12
"94",93,1.23051686549856e-08
"95",94,9.0862424975922e-07
"96",95,1.22737559025073e-05
"97",96,7.06182295742415e-05
"98",97,0.000248911096137786
"99",98,0.000644975482106831
"100",99,0.00136002960247753
"101",100,0.00248099538217149
"102",101,0.00407132359975779
"103",102,0.00616906540011092
"104",103,0.0087892903755844
"105",104,0.0119284056716359
"106",105,0.015568840894644
"107",106,0.0196833126045688
"108",107,0.0242383596355443
"109",108,0.0291971012228661
"110",109,0.0345212920994903
"111",110,0.0401727928190619
"112",111,0.0461145781023008
"113",112,0.0523113930759049
"114",113,0.0587301485406232
"115",114,0.0653401275027996
"116",115,0.0721130585045226
"117",116,0.0790230975090458
"118",117,0.086046749184895
"119",118,0.0931627500172544
"120",119,0.100351929308643
"121",120,0.107597059382451
"122",121,0.1148827028023
"123",122,0.122195061865964
"124",123,0.129521833787331
"125",124,0.136852073660858
"126",125,0.144176066371494
"127",126,0.151485207965005
"128",127,0.158771896551579
"129",128,0.166029432522152
"130",129,0.173251927669887
"131",130,0.180434222697652
"132",131,0.187571812533745
"133",132,0.194660778855944
"134",133,0.201697729226503
"135",134,0.208679742259419
"136",135,0.215604318270066
"137",136,0.222469334891908
"138",137,0.229273007182422
"139",138,0.236013851778597
"140",139,0.242690654699997
"141",140,0.249302442433528
"142",141,0.255848455968248
"143",142,0.262328127480361
"144",143,0.268741059398012
"145",144,0.275087005602437
"146",145,0.281365854546648
"147",146,0.287577614095141
"148",147,0.293722397908306
"149",148,0.299800413213426
"150",149,0.305811949820539
"151",150,0.311757370256147
"152",151,0.317637100900957
"153",152,0.323451624029681
"154",153,0.329201470661504
"155",154,0.334887214139313
"156",155,0.340509464364264
"157",156,0.34606886261985
"158",157,0.351566076926408
"159",158,0.35700179787308
"160",159,0.362376734879665
"161",160,0.367691612845655
"162",161,0.372947169148074
"163",162,0.378144150953655
"164",163,0.383283312814345
"165",164,0.388365414518253
"166",165,0.393391219170942
"167",166,0.398361491484489
"168",167,0.403276996253943
"169",168,0.408138497002862
"170",169,0.412946754781402
"171",170,0.417702527102046
"172",171,0.422406566999518
"173",172,0.427059622202774
"174",173,0.431662434408078
"175",174,0.436215738643287
"176",175,0.440720262714391
"177",176,0.445176726726236
"178",177,0.449585842670107
"179",178,0.45394831407157
"180",179,0.458264835692594
"181",180,0.462536093282531
"182",181,0.466762763373072
"183",182,0.47094551311273
"184",183,0.475085000136843
"185",184,0.479181872469455
"186",185,0.483236768453782
"187",186,0.487250316708289
"188",187,0.491223136105655
"189",188,0.495155835772193
"190",189,0.499049015105497
"191",190,0.502903263808311
"192",191,0.506719161936797
"193",192,0.510497279961541
"194",193,0.514238178839823
"195",194,0.517942410097779
"196",195,0.521610515921238
"197",196,0.525243029254124
"198",197,0.528840473903416
"199",198,0.532403364649765
"200",199,0.535932207362938
"201",200,0.539427499121354
"202",201,0.542889728335047
"203",202,0.546319374871432
"204",203,0.549716910183356
"205",204,0.553082797438927
"206",205,0.556417491652676
"207",206,0.559721439817671
"208",207,0.562995081038208
"209",208,0.566238846662779
"210",209,0.569453160417014
"211",210,0.572638438536348
"212",211,0.575795089898193
"213",212,0.578923516153396
"214",213,0.582024111856828
"215",214,0.585097264594474
"216",215,0.588143342818811
"217",216,0.591161848853084
"218",217,0.59414356535497
"219",218,0.597052342787657
"220",219,0.599815566754194
"221",220,0.602335762564174
"222",221,0.604512054340074
"223",222,0.606257856513242
"224",223,0.607510048795801
"225",224,0.608230904781785
"226",225,0.608405673977906
"227",226,0.608038262807994
"228",227,0.60714654981335
"229",228,0.605758121266375
"230",229,0.603906735954347
"231",230,0.601629567154924
"232",231,0.598965147640225
"233",232,0.595951899452509
"234",233,0.592627125654612
"235",234,0.589026354186008
"236",235,0.585182942687853
"237",236,0.581127872062731
"238",237,0.576889673233977
"239",238,0.572494445347958
"240",239,0.567965934575878
"241",240,0.563325651086583
"242",241,0.558593008128342
"243",242,0.553785471906087
"244",243,0.548918714441152
"245",244,0.544006764154818
"246",245,0.539062150762207
"247",246,0.534096042382085
"248",247,0.529118373699654
"249",248,0.524137964667402
"250",249,0.519162629671177
"251",250,0.514199277382059
"252",251,0.509254001701646
"253",252,0.504332164319903
"254",253,0.4994384694634
"255",254,0.494577031433837
"256",255,0.489751435534308
