"","times","Qs"
"1",0,0
"2",1,0
"3",2,0
"4",3,0
"5",4,0
"6",5,0
"7",6,0
"8",7,0
"9",8,0
"10",9,0
"11",10,0
"12",11,0
"13",12,0
"14",13,0
"15",14,0
"16",15,0
"17",16,0
"18",17,0
"19",18,0
"20",19,0
"21",20,0
"22",21,0
"23",22,0
"24",23,0
"25",24,0
"26",25,0
"27",26,0
"28",27,0
"29",28,0
"30",29,0
"31",30,0
"32",31,0
"33",32,0
"34",33,0
"35",34,0
"36",35,0
"37",36,0
"38",37,0
"39",38,0
"40",39,0
"41",40,0
"42",41,0
"43",42,0
"44",43,0
"45",44,0
"46",45,0
"47",46,0
"48",47,0
"49",48,0
"50",49,0
"51",50,0
"52",51,0
"53",52,0
"54",53,0
"55",54,0
"56",55,0
"57",56,0
"58",57,0
"59",58,0
"60",59,0
"61",60,0
"62",61,0
"63",62,0
"64",63,0
"65",64,0
"66",65,0
"67",66,0
"68",67,0
"69",68,0
"70",69,0
"71",70,0
"72",71,0
"73",72,0
"74",73,0
"75",74,0
"76",75,0
"77",76,0
"78",77,0
"79",78,0
"80",79,0
"81",80,0
"82",81,0
"83",82,0
"84",83,0
"85",84,0
"86",85,0
"87",86,0
"88",87,0
"89",88,0
"90",89,0
"91",90,0
"92",91,7.63794611565069e-28
"93",92,7.70555221182539e-17
"94",93,3.89123599422652e-13
"95",94,2.87332216650083e-11
"96",95,3.88130240968584e-10
"97",96,2.23314449783266e-09
"98",97,7.87125998684543e-09
"99",98,2.03959155842276e-08
"100",99,4.30079122908236e-08
"101",100,7.84559627202182e-08
"102",101,1.28746556668303e-07
"103",102,1.95082976988884e-07
"104",103,2.77941766034434e-07
"105",104,3.772093077684e-07
"106",105,4.92329977558486e-07
"107",106,6.22440997275386e-07
"108",107,7.66484231946086e-07
"109",108,9.23293409387442e-07
"110",109,1.09165910806365e-06
"111",110,1.27037525278292e-06
"112",111,1.45827100140996e-06
"113",112,1.65423149696221e-06
"114",113,1.85721036708383e-06
"115",114,2.06623625514656e-06
"116",115,2.28041513915267e-06
"117",116,2.49892975890163e-06
"118",117,2.72103712677505e-06
"119",118,2.94606483139414e-06
"120",119,3.17340664207519e-06
"121",120,3.40251777184935e-06
"122",121,3.63291004611476e-06
"123",122,3.86414714321631e-06
"124",123,4.09584001489718e-06
"125",124,4.32764255285447e-06
"126",125,4.55924753817527e-06
"127",126,4.79038288993696e-06
"128",127,5.02080821527622e-06
"129",128,5.25031165395235e-06
"130",129,5.4787070045159e-06
"131",130,5.70583111566629e-06
"132",131,5.93154152452752e-06
"133",132,6.15571432287127e-06
"134",133,6.3782422323966e-06
"135",134,6.59903287076655e-06
"136",135,6.81800719101263e-06
"137",136,7.03509807801198e-06
"138",137,7.25024908692595e-06
"139",138,7.46341330969748e-06
"140",139,7.67455235689437e-06
"141",140,7.88363544332958e-06
"142",141,8.09063856696962e-06
"143",142,8.29554377164946e-06
"144",143,8.49833848504314e-06
"145",144,8.69901492419198e-06
"146",145,8.8975695616705e-06
"147",146,9.09400264617588e-06
"148",147,9.28831777196523e-06
"149",148,9.48052149214064e-06
"150",149,9.67062297130023e-06
"151",150,9.85863367353854e-06
"152",151,1.00445670821974e-05
"153",152,1.02284384481424e-05
"154",153,1.04102645636745e-05
"155",154,1.05900635594877e-05
"156",155,1.07678547223501e-05
"157",156,1.09436583314263e-05
"158",157,1.11174955113742e-05
"159",158,1.12893881005399e-05
"160",159,1.14593585327472e-05
"161",160,1.16274297313309e-05
"162",161,1.17936250141999e-05
"163",162,1.19579680088408e-05
"164",163,1.21204825762813e-05
"165",164,1.2281192743131e-05
"166",165,1.24401226409067e-05
"167",166,1.25972964519276e-05
"168",167,1.27527383611365e-05
"169",168,1.29064725132685e-05
"170",169,1.30585229748426e-05
"171",170,1.32089137005067e-05
"172",171,1.33576685033099e-05
"173",172,1.35048110285178e-05
"174",173,1.36503647306256e-05
"175",174,1.37943528532551e-05
"176",175,1.39367984116525e-05
"177",176,1.40777241775326e-05
"178",177,1.42171526660365e-05
"179",178,1.43551061245962e-05
"180",179,1.44916065235142e-05
"181",180,1.4626675548089e-05
"182",181,1.47603345921312e-05
"183",182,1.48926047527292e-05
"184",183,1.50235068261383e-05
"185",184,1.51530613046781e-05
"186",185,1.52812883745335e-05
"187",186,1.54082079143659e-05
"188",187,1.55338394946476e-05
"189",188,1.56582023776441e-05
"190",189,1.57813155179714e-05
"191",190,1.59031975636678e-05
"192",191,1.60238668577197e-05
"193",192,1.6143341439991e-05
"194",193,1.62616390495084e-05
"195",194,1.63787771270597e-05
"196",195,1.64947728180663e-05
"197",196,1.66096429756948e-05
"198",197,1.67234041641763e-05
"199",198,1.68360726623043e-05
"200",199,1.69476644670854e-05
"201",200,1.70581952975195e-05
"202",201,1.7167680598488e-05
"203",202,1.72761355447308e-05
"204",203,1.73835750448961e-05
"205",204,1.74900137456455e-05
"206",205,1.75954660358018e-05
"207",206,1.7699946050527e-05
"208",207,1.78034676755181e-05
"209",208,1.79060445512121e-05
"210",209,1.800769007699e-05
"211",210,1.8108417415372e-05
"212",211,1.8208239496197e-05
"213",212,1.83071690207801e-05
"214",213,1.84052184660419e-05
"215",214,1.85024000885273e-05
"216",215,1.85987255397268e-05
"217",216,1.86941790817194e-05
"218",217,1.87884692365481e-05
"219",218,1.8880452855486e-05
"220",219,1.89678336696802e-05
"221",220,1.90475292587717e-05
"222",221,1.91163496474211e-05
"223",222,1.91715567595339e-05
"224",223,1.92111545563476e-05
"225",224,1.92339500241544e-05
"226",225,1.92394767114002e-05
"227",226,1.9227858150053e-05
